full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Poland, 05-830, Nadarzyn, Pl.Poniatowskiego, 15",52.092124938964844,20.807151794433594,297.0,BHC,05-830,Nadarzyn,Pl.Poniatowskiego,15.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-830, Nadarzyn, Pl. Poniatowskiego, 26",52.09282684326172,20.806133270263672,54.0,BHB,05-830,Nadarzyn,Pl. Poniatowskiego,26.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-807, Podkowa Leśna, Sosnowa, 18",52.12129592895508,20.74248695373535,297.0,BHC,05-807,Podkowa Leśna,Sosnowa,18.0,1.0,150101_200201,4 wtorek,1 raz w miesiącu,4,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-822, Milanówek, Zbigniewa Herberta, 22",52.12314224243164,20.672834396362305,64.80000000000001,BRC,05-822,Milanówek,Zbigniewa Herberta,22.0,1.0,150101_200201,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Kopernika, 31",52.108055114746094,20.6380558013916,64.80000000000001,BRB,05-825,Grodzisk Mazowiecki,Kopernika,31.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Żwirki i Wigury, 26",52.10655212402344,20.61893081665039,297.0,BRC,05-825,Grodzisk Mazowiecki,Żwirki i Wigury,26.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Bałtycka, 23",52.1048583984375,20.617525100708008,297.0,BRC,05-825,Grodzisk Mazowiecki,Bałtycka,23.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-825, Odrano-Wola, Osowiecka, 32",52.06768035888672,20.63762664794922,297.0,BRA,05-825,Odrano-Wola,Osowiecka,32.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 96-313, Jaktorów, Chełmońskiego, 6",52.08494186401367,20.553144454956055,297.0,BRB,96-313,Jaktorów,Chełmońskiego,6.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 96-313, Chylice-Kolonia, 3 Maja, 24",52.09214782714844,20.550317764282227,297.0,BRB,96-313,Chylice-Kolonia,3 Maja,24.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
