group_name,distance,volume,time
2Pn_B_200108_200201_200301,939.5748000000001,29.106,18.582333333333327
2Wt_B_200108_200201_200301,231.41420000000002,14.535,6.119166666666667
2Pt_B_200108_200201_200301,392.58509999999995,6.723,5.747
2Cz_B_200108_200201_200301,1587.8158,34.227,26.110166666666657
4Pt_B_200108_200201_200301,1074.8501999999999,21.375,20.879527777777774
1Sr_B_150102_150106_150104_200139,122.2672,2.997,3.548277777777778
3Sr_B_150102_150106_150104_200139,133.9245,3.024,4.08861111111111
1Pn_B_150102_150106_150104_200139,334.7517,8.4015,7.601388888888889
4Cz_B_150101_200201,148.4011,5.2092,4.065194444444445
1Pn_B_200108_200201_200301,967.1482,17.4015,20.134805555555555
3Pn_B_200108_200201_200301,1024.7662,18.099,20.816055555555554
4Pn_B_200108_200201_200301,823.2382,29.052,17.542944444444448
1Cz_B_200108_200201_200301,869.5352,21.573,20.925638888888887
3Cz_B_200108_200201_200301,828.8466,21.078,20.718388888888892
4Cz_B_200108_200201_200301,1404.783,21.825,25.18688888888889
2Pn_B_150102_150106_150104_200139,417.816,9.3915,9.570250000000001
3Pn_B_150102_150106_150104_200139,280.8767,8.1,6.783250000000001
4Pn_B_150102_150106_150104_200139,440.66290000000004,9.8325,9.378111111111112
1Wt_B_200108_200201_200301,290.7532,15.7635,7.780194444444444
3Wt_B_200108_200201_200301,307.4139,15.966,8.431444444444445
1Sr_B_200108_200201_200301,722.963,22.698,11.374222222222222
3Sr_B_200108_200201_200301,399.3443,22.59,7.829722222222221
1Pt_B_150101_200201,481.8987,5.391899999999999,10.28413888888889
3Pt_B_150101_200201,393.525,5.2163999999999975,9.407666666666668
1Pt_B_200108_200201_200301,780.6813000000001,17.658,14.44161111111111
3Pt_B_200108_200201_200301,783.818,17.712,14.953472222222226
1Cz_B_150101_200201,120.5353,4.8258,2.9279722222222224
2Cz_B_150101_200201,135.5728,5.4414,3.962999999999999
3Cz_B_150101_200201,114.0987,5.1228,3.1106388888888885
1Cz_B_150107_200102,120.34710000000001,1.7,3.342694444444444
3Cz_B_150107_200102,150.5035,1.76,3.575916666666667
1Pt_B_150102_150106_150104_200139,83.69739999999999,1.8405,2.4520555555555554
2Pt_B_150102_150106_150104_200139,202.6583,3.348,5.544916666666666
