group_name,distance,volume,time
3Cz_B_150107_200102,84.6585,0.91,2.1551944444444446
4Wt_P_150101_200201,93.0244,0.242,2.074611111111111
niestandardowe_B_200108_200201_200301,53.6981,0.162,1.4085833333333333
1Pt_P_200108_200201_200301,134.1496,1.098,2.382111111111111
3Pt_P_200108_200201_200301,134.1496,1.098,2.382111111111111
2Wt_B_150101_200201,160.4507,1.846,3.391277777777778
4Wt_B_150101_200201,173.333,1.91,3.6931388888888894
1Wt_P_150101_200201,47.2905,0.178,0.9450555555555555
2Wt_P_150101_200201,54.4923,0.232,1.4317222222222221
3Wt_P_150101_200201,47.2905,0.178,0.9450555555555555
1Pn_P_200108_200201_200301,133.2396,0.99,2.138
1Cz_P_200108_200201_200301,95.0047,0.495,1.4747222222222223
2Pn_P_200108_200201_200301,133.2396,0.99,2.138
2Cz_P_200108_200201_200301,95.0047,0.495,1.4747222222222223
3Pn_P_200108_200201_200301,133.2396,0.99,2.138
3Cz_P_200108_200201_200301,96.1543,0.99,1.739388888888889
4Pn_P_200108_200201_200301,133.2396,0.99,2.138
4Cz_P_200108_200201_200301,95.0047,0.495,1.4747222222222223
2Wt_B_150102_150106_150104_200139,102.93730000000001,1.177,2.637972222222222
4Wt_B_150102_150106_150104_200139,102.888,1.397,2.6654166666666668
2Sr_B_150107_200102,39.572,0.54,1.5668055555555553
4Sr_B_150107_200102,38.4849,0.6,1.527361111111111
4Pt_B_150107_200102,62.7195,0.18,1.5742777777777777
1Sr_B_40209,60.515699999999995,1.1,1.0305833333333334
3Sr_B_40209,60.515699999999995,1.1,1.0305833333333334
2Pt_P_200108_200201_200301,152.03670000000002,1.152,2.8199722222222223
4Pt_P_200108_200201_200301,152.03670000000002,1.152,2.8199722222222223
4Pt_P_150107_200102,61.0122,0.06,1.1655000000000002
1Cz_UP_150101_200201,67.7002,0.207,1.3050000000000002
1Pt_B_200101_150101,0.0,0.0,0.07333333333333333
2Pt_B_200101_150101,0.0,0.0,0.07333333333333333
3Pt_B_200101_150101,0.0,0.0,0.07333333333333333
4Pt_B_200101_150101,0.0,0.0,0.07333333333333333
1Pt_P_150107_200102,38.1336,0.06,0.8329166666666666
2Pt_B_150107_200102,70.9026,0.12,1.5541666666666667
1Wt_B_200101_150101,65.7894,0.032,1.1025
3Wt_B_200101_150101,65.7894,0.032,1.1025
2Sr_P_150107_200102,24.336599999999997,0.55,0.758638888888889
