full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Poland, 96-320, Grabce-Towarzystwo, Żukowska, 34",51.98411178588867,20.461069107055664,495.0,BRC,96-320,Grabce-Towarzystwo,Żukowska,34.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 96-320 , Mszczonów, Księcia Ziemowita, 27",51.97000503540039,20.50596809387207,495.0,BRC,96-320 ,Mszczonów,Księcia Ziemowita,27.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 96-320 , Mszczonów, Ługowa, 28",51.969974517822266,20.527448654174805,3150.0,BRA,96-320 ,Mszczonów,Ługowa,28.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 96-325, Radziejowice, Mszczonowska, 28",51.997276306152344,20.551939010620117,495.0,BRB,96-325,Radziejowice,Mszczonowska,28.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-825, Urszulin, Legionistów, 33",52.07223892211914,20.72146224975586,108.0,BRA,05-825,Urszulin,Legionistów,33.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-830, Strzeniówka, Dzikiej Róży, 6",52.11899948120117,20.798200607299805,108.0,BHC,05-830,Strzeniówka,Dzikiej Róży,6.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-506, Magdalenka, Modrzewiowa, 29",52.0967903137207,20.90546226501465,54.0,BWC,05-506,Magdalenka,Modrzewiowa,29.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-552, Łazy, Muzyczna, 12",52.072853088378906,20.892820358276367,54.0,BWC,05-552,Łazy,Muzyczna,12.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-555, Wola Przypkowska, Piękna, 12",52.00935363769531,20.838773727416992,495.0,BHC,05-555,Wola Przypkowska,Piękna,12.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
"Poland, 05-555, Kotorydz, Piaseczyńska, 27",51.99333190917969,20.873607635498047,108.0,BHC,05-555,Kotorydz,Piaseczyńska,27.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_200108_200201_200301,1
