full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Poland, 05-503, Głosków, Radnych, 20",52.032493591308594,20.96168327331543,495.0,BWB,05-503,Głosków,Radnych,20.0,1.0,200108_200201_200301,3 poniedziałek,1 raz w miesiącu,3,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-503, Głosków, Korczunkowa, 25",52.02527618408203,20.945322036743164,495.0,BWC,05-503,Głosków,Korczunkowa,25.0,1.0,200108_200201_200301,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Wschodnia, 33",51.99923324584961,20.927650451660156,54.0,BWC,05-500 ,Piaseczno,Wschodnia,33.0,1.0,200108_200201_200301,3 poniedziałek,1 raz w miesiącu,3,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-555, Tarczyn, Pogodna, 21",51.98316955566406,20.839683532714844,54.0,BHB,05-555,Tarczyn,Pogodna,21.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Mickiewicza, 22",52.04850769042969,20.446182250976562,495.0,BRA,96-300,Żyrardów,Mickiewicza,22.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Reymonta, 14",52.04656219482422,20.43977165222168,495.0,BHA,96-300,Żyrardów,Reymonta,14.0,1.0,200108_200201_200301,poniedziałek piątek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Pt",0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Janiny Jadwigi Kacperskiej, 16",52.068748474121094,20.44355010986328,495.0,BRC,96-300,Żyrardów,Janiny Jadwigi Kacperskiej,16.0,1.0,200108_200201_200301,3 poniedziałek,1 raz w miesiącu,3,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-825, Janinów, Norweska, 17",52.07860565185547,20.61048126220703,495.0,BRA,05-825,Janinów,Norweska,17.0,1.0,200108_200201_200301,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-825, Urszulin, Legionistów, 33",52.07223892211914,20.72146224975586,108.0,BRA,05-825,Urszulin,Legionistów,33.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-830, Rusiec, Osiedlowa, 6",52.06547927856445,20.800451278686523,495.0,BHC,05-830,Rusiec,Osiedlowa,6.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Orzechowa, 20",52.05488204956055,20.925369262695312,495.0,BWC,05-500 ,Piaseczno,Orzechowa,20.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Wołodyjowskiego, 34",52.05604934692383,20.991140365600586,108.0,BWC,05-500 ,Piaseczno,Wołodyjowskiego,34.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Pod Bateriami, 18",52.053348541259766,21.003459930419922,108.0,BWB,05-500 ,Piaseczno,Pod Bateriami,18.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
