full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Poland, 05-830, Kajetany, Orla, 34",52.08196258544922,20.822959899902344,495.0,BHB,05-830,Kajetany,Orla,34.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Nadarzyn, Komorowska, 8",52.098777770996094,20.816150665283203,495.0,BHB,05-830,Nadarzyn,Komorowska,8.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Nadarzyn, Turystyczna, 12",52.099151611328125,20.810169219970703,54.0,BHC,05-830,Nadarzyn,Turystyczna,12.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Nadarzyn, Jaworowa, 10",52.108280181884766,20.798852920532227,54.0,BHC,05-830,Nadarzyn,Jaworowa,10.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Nadarzyn, Wiśniowa, 13",52.097679138183594,20.794031143188477,495.0,BHC,05-830,Nadarzyn,Wiśniowa,13.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Stara Wieś, Bajkowa, 12",52.08351135253906,20.787939071655273,108.0,BHC,05-830,Stara Wieś,Bajkowa,12.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Stara Wieś, Miłosna, 22",52.07923889160156,20.781150817871094,108.0,BHC,05-830,Stara Wieś,Miłosna,22.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-831, Młochów, Al. Kasztanowa, 6",52.07192611694336,20.776269912719727,3150.0,BHA,05-831,Młochów,Al. Kasztanowa,6.0,1.0,200108_200201_200301,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Stara Wieś, Sygietyńskich, 6",52.0810546875,20.763086318969727,108.0,BHC,05-830,Stara Wieś,Sygietyńskich,6.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Urzut, Malownicza, 10",52.06990051269531,20.752634048461914,54.0,BHC,05-830,Urzut,Malownicza,10.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
